11.3.1  Uitgebrachte geldige stemmen, blanco/ongeldige stemmen, kiesgerechtigden en opkomstpercentage bij de verkiezingen voor de Gemeenteraad, 2010 en 2014;;;;;;
;;;;;;
;;absoluut;;procenten;;
politieke groepering;pol. gr. afgekort;2010;2014;2010;2014;
;;;;;;
Partij van de Arbeid (P.v.d.A.) 1);PVDA;90067;58461;29,3;18,4;
VVD 2);VVD;52039;35639;16,9;11,2;
GROENLINKS 1);GROENLIN;46407;34145;15,1;10,7;
Democraten 66 (D66) 2);D66;45524;85241;14,8;26,8;
SP (Socialistische Partij);SP;22266;35627;7,2;11,2;
RED AMSTERDAM 3);REDASD;11435;5038;3,7;1,6;
CDA;CDA;10218;8852;3,3;2,8;
Partij voor de Dieren 3);PVDD;7113;8944;2,3;2,8;
TROTS 4)5);TROTS;7096;1200;2,3;0,4;
lijst Thonon;−−;;130;;0,0;
Piratenpartij;PIRATENP;;5606;;1,8;
De Groenen;GROENEN;2001;1427;0,7;0,4;
Ouderen Partij Amsterdam (OPA);OPA-ASD;;3891;;1,2;
Amsterdam Sociaal;ASDSOC;1181;697;0,4;0,2;
ChristenUnie ;CU;3860;5625;1,3;1,8;
LEEFBAAR AMSTERDAM;LA;3079;2675;1,0;0,8;
De Republikeinse Politieke Partij 6);RPP;215;174;0,1;0,1;
Partij Voor Vrije Amsterdammers (PVVA);PVVA;;3912;;1,2;
Radicale Oppositie Beweging (R.O.B.);ROB;;711;;0,2;
Nieuwe Amsterdamse Toekomst (NAT);NAT;;1506;;0,5;
OMA Amsterdam;OMA;;1063;;0,3;
Multicultureel Plus Partij (M+);MPP;;4319;;1,4;
Basis Inkomen Partij (BIP);BIP;;602;;0,2;
Visie Op Amsterdam (Lijst Ina Brouwer);VOA;;600;;0,2;
Partij van de Eenheid;PVDE;;4231;;1,3;
Partij van de Ouderen (P.v.d.O.) 4);PVDO;;6762;;2,1;
Libertarische Partij (LP);LP;;667;;0,2;
Tulpen voor Amsterdam;TVA;1230;;0,4;;
Partij voor Mens en Spirit;MENS;1009;;0,3;;
Amsterdamsche Belangen (AB);AB;1315;;0,4;;
NATIONALE DEMOCRATISCHE PARTIJ (NDP);NDP;543;;0,2;;
Lijst 19;L19;696;;0,2;;
totaal geldige stemmen;;307294;317745;100;100;
blanco/ongeldige stemmen;;3355;5193;;;
totaal stemmen;;310649;322938;;;
kiesgerechtigden;;604583;642286;;;
opkomstpercentage;;;;51,4;50,3;
;;;;;;
1) Combinatie PVDA met GROENLINKS.;;;;;bron: afd. Basisinformatie/OIS;
2) Combinatie VVD met D66.;;;;;;
3) Combinatie REDASD met PVDD.;;;;;;
4) Combinatie TROTS met PVDO.;;;;;;
5) 2010 = TROTS OP NEDERLAND LIJST RITA VERDONK;;;;;;
6) 2010 = Republikeinse Moderne Partij;;;;;;